Компания,Сайт,Имя ЛПР,Должность,Email,Ниша,Город,Персонализация
Текарт,https://techart.ru,,,info@techart.ru,Маркетинговая группа,Москва,"Увидел на сайте отдельный email для медиа-запросов (pr@techart.ru) — похоже, публичная активность агентства высокая."
Космос-Веб,https://www.cosmos-web.ru,,,nsk@cosmos-web.ru,Разработка и продвижение сайтов,Новосибирск,"Заметил, что вы 20+ лет на рынке и сделали 1200+ проектов — солидный опыт для регионального агентства из Новосибирска."
5+1 Media,https://5plus1.ru,Юрий Анциферов,Основатель,info@5plus1.ru,Digital-стратегии,Москва,"Юрий, красивая история: агентство выросло из ваших студентов МГИМО — из 15 человек вы отобрали 5 сооснователей."
LZ.Media,https://lz.media,Александр Любаков,CEO,la@lz.media,Интернет-маркетинг,Самара,"Заметил, что у вас в команде отдельная роль CBDO (Дмитрий Зароченцев) — нечастая для агентства из Самары позиция."
АСТОНИА,https://astonia.ru,,,info@astonia.ru,Разработка сайтов,Москва,"Увидел на сайте АСТОНИА фокус на разработке сайтов «под ключ» в Москве — уточню, сейчас входящие заявки закрывают свои силы или уже смотрите на аутрич?"
IT-Agency,https://www.it-agency.ru,Александр Кульгинский,Управляющий партнёр,sales@it-agency.ru,Рекламное агентство полного цикла,Москва,"Александр, заметил, что вы лично, как управляющий партнёр, указаны контактным лицом по продажам — нечасто для агентства такого масштаба."
Wunder Digital,https://wunder-digital.ru,,,info@wunder-digital.ru,Интернет-маркетинг,Москва,"Увидел, что Wunder Digital называет себя «инновационным digital-хабом» и работает не только в Москве, но и в Беларуси с Казахстаном."
SALO,https://salo.ru,,,salo@salo.ru,Брендформанс-агентство,Москва,"Заметил, что вы позиционируете себя как «брендформанс-агентство» — на стыке бренд-маркетинга и перформанса, нечастое позиционирование."
CoffeeStudio,https://coffeestudio.ru,,,web@coffeestudio.ru,Интернет-маркетинг полного цикла,Псков,"Увидел, что у CoffeeStudio три офиса — в Пскове, Москве и Санкт-Петербурге — нетипичная для digital-агентства география."
SETEVIE Agency,https://setevie.com,,,sales@setevie.com,Маркетинг в недвижимости,Санкт-Петербург,"Заметил, что вы фокусируетесь на маркетинге в недвижимости — узкая отраслевая специализация вместо универсального digital."
Победа Digital,https://pbd.space,,,in@pbd.space,SMM/SERM,Санкт-Петербург,"Увидел, что у Победа Digital кроме офиса в Петербурге есть отдельные контакты для США и Европы — похоже, работаете с зарубежными клиентами."
Denero,https://denero.ru,,,company@denero.ru,Digital-маркетинг/аналитика,Санкт-Петербург,"Заметил, что вы формулируете миссию как «системный рост прибыли за счёт автоматизации» — акцент на результате, а не на перечне услуг."
Tandem Group,https://tandemdigital.ru,,,info@tandemdigital.ru,Performance-маркетинг,Москва,"Увидел, что вы специализируетесь именно на performance-маркетинге — с упором на измеримый результат рекламы."
Belberry,https://belberry.net,Максим Гундарев,Генеральный директор,hello@belberry.net,Медицинский digital-маркетинг,Москва,"Максим, заметил, что Belberry специализируется на медицинском digital-маркетинге — узкая и понятная ниша (клиники, стоматологии)."
ONY,https://ony.ru,,,hello@ony.ru,Digital Tech агентство,Москва,"Увидел, что у вас отдельное направление Digital Tech — то есть кроме маркетинга вы закрываете и техническую часть."
MobileUp,https://mobileup.ru,,,hello@mobileup.ru,Разработка мобильных приложений,Санкт-Петербург,"Заметил у вас в портфолио отзывы клиентов вроде GorodPay — похоже, среди клиентов есть финтех-проекты."
L-TECH,https://l-tech.ru,,,hello@l-tech.ru,IT-студия (моб./веб-разработка),Москва,"Увидел, что вы ведёте разработку из двух городов — Москвы и Твери — нечастое сочетание для IT-студии."
Cleaning Moscow,https://cleaning-moscow.ru,Татьяна,Генеральный директор,info@cleaning-moscow.ru,Клининг для бизнеса,Москва,"Татьяна, заметил, что вы лично на связи с клиентами напрямую через Telegram — редкая для клининговой компании открытость."
B2B-Транс,https://www.b2b-trans.ru,,,info@b2b-trans.ru,Грузоперевозки,Архангельск,"Увидел, что вы базируетесь в Архангельске, а возите грузы по всей России — нечастый регион для транспортной компании такого профиля."
Digital Buro,https://buro.digital,,,info@buro.digital,Digital-маркетинг,Москва,"Заметил, что вы называете себя «self-managed digital-агентством» — необычная для рынка модель управления командой."
МБГ Групп,https://mbg-group.ru,,,2272726@mail.ru,Бюро переводов,Москва,"Увидел, что вы специализируетесь именно на переводах для бизнеса — значит, регулярно работаете с корпоративной документацией."
ML GROUP,https://www.ml-group.ru,,,sales@ml-group.ru,Производство упаковки,Тула,"Заметил, что у вас три направления — ML Food, ML Pharma и ML Converting — то есть упаковка сразу для трёх разных отраслей."
КОМАНДАНТЕ,https://comandante-event.ru,Вадим Ерохин,Сооснователь,ev@comandante-event.ru,Организация корпоративных мероприятий,Москва,"Вадим, увидел, что вы с Григорием сооснователи с опытом 15+ и 16+ лет в event и шоу-бизнесе — солидный совместный стаж."
Fanes Production,https://fanes.pro,Павел Фрайденбергер,Сооснователь,info@fanes.pro,Видео-продакшн для бизнеса,Санкт-Петербург,"Павел, заметил, что у вас офисы в Петербурге и Москве и вы делаете видеопродакшн полного цикла для бизнеса по всей России."
Vzor-Pro,https://vzor-production.ru,,,info@vzor-production.ru,Видео-продакшн,Москва,"Увидел, что вы предлагаете не только видеосъёмку, но и 3D-анимацию со съёмкой с дронов — расширенный набор форматов."
РОССТ,https://rosst.ru,,,info@rosst.ru,Рекламное агентство полного цикла,Москва,"Заметил, что вы позиционируетесь как «независимое» рекламное агентство полного цикла — подчёркиваете отсутствие сетевой аффилиации."
INSPIRO,https://www.inspiro.ru,,,mail@inspiro.ru,Веб-разработка/e-commerce,Москва,"Увидел, что вы называете себя №1 в рейтинге веб-разработки в среднем ценовом сегменте — с 25-летним опытом на рынке e-commerce."
Первый Бит,https://1cbit.ru,,,orderweb@1cbit.ru,Внедрение 1С,Москва,"Заметил, что у вас 100 офисов в 60 городах и 9 странах — по сути федеральная сеть, а не локальное агентство."
TOPAR,https://topar.ru,,,info@topar.ru,Digital-агентство,Москва,"Увидел, что TOPAR — digital-агентство с локацией в Москве и активным Telegram-каналом для связи с клиентами."
Веб-Центр,https://web-c.ru,,,mail@web-c.ru,Разработка сайтов/интернет-магазинов,Москва,"Заметил, что вы обещаете ответ в течение часа в рабочее время — акцент на скорости реакции на заявки."
MOSSEO,https://mosseo.ru,Александр Соин,Руководитель отдела продаж,info@mosseo.ru,SEO-продвижение,Москва,"Александр, заметил, что MOSSEO на рынке SEO с 2008 года — больше 15 лет фокуса именно на продвижении сайтов."
SEO Intellect,https://seointellect.ru,Артур Латыпов,CEO,manager@seointellect.ru,SEO-агентство,Москва,"Артур, увидел, что у вас в команде отдельно выделена роль операционного директора (Алексей Ши) — зрелая структура для SEO-агентства."
Leadconvert,https://leadconvert.ru,Владимир Сафонов,Основатель/CEO,info@leadconvert.ru,Контекстная реклама (Яндекс Директ),Москва,"Владимир, заметил, что вы обещаете перезвонить в течение 5 минут в рабочее время — акцент на скорости реакции по контекстной рекламе."
BrandLab,https://brandlab.ru,Александр Еременко,Founder/CEO,info@brandlab.ru,Брендинговое агентство,Москва,"Александр, увидел, что среди ваших брендинговых проектов — Lada Vesta, Lada Granta и аэропорт Жуковский — серьёзный масштаб клиентов."
Zerobit,https://zerobit.ru,,,sales@zerobit.ru,ИТ-аутстаффинг,Москва,"Заметил, что у вас есть собственная «Zerobit Academy» — то есть вы не только даёте специалистов в аутстафф, но и растите их сами."
IT Волна,https://itvolna.tech,,,info@itvolna.tech,ИТ-аутстаффинг,Москва,"Увидел, что «Волна» — аккредитованная ИТ-компания, специализирующаяся на аутстаффинге ИТ-персонала в Москве."
